Product Name,Price,Brand,Image Source
Jaeger Compact tailoring v-neck dress,$110,houseoffraser.co.uk,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/151716575.jpg
Closet Rose Belted Skater Dress,$82,houseoffraser.co.uk,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/151989762.jpg
Yoins Yoins Sleeveless Dress,$32,yoins.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/123051037.jpg
"Phase Eight Zelda Swing Dress, Charcoal",$135,johnlewis.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/154871415.jpg
Jill Jill Stuart Women's Sleeveless Deep V-Neck 2 Ply Crepe Gown,$127,amazon.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/150698924.jpg
"Warehouse Tropical Palm Print Midi Dress, Neutral",$30,johnlewis.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/154870712.jpg
ACNE STUDIOS Teddi Satin S/L Dress,$192,boutique1.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/102906593.jpg
Floreat Kalala Peasant Dress,$168,anthropologie.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/155723907.jpg
Bronx and Banco Babylon Maxi Dress Dresses,$285,revolveclothing.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/148417537.jpg
Mary Katrantzou Cameron Dress,"$1,080",farfetch.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/146037306.jpg
Tracy Reese Nona Silk Tunic Dress,$298,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/151400854.jpg
Nue by Shani Cross-Front Sheath,$178,anthropologie.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/155725203.jpg
Hemant and Nandita Half-Sleeve Carpet-Print Midi Dress,$429,neimanmarcus.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/153348941.jpg
Michael Kors Collection Short-Sleeve Utility Shirtdress,$558,neimanmarcus.com,http://ak1.polyvoreimg.com/cgi/img-thing/size/l/tid/153477978.jpg
GIORGIO ARMANI Stretch Ottoman & Jersey Dress,"$3,475",luisaviaroma.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/154092537.jpg
VALENTINO Giraffe Printed Cotton Muslin Dress,"$5,350",luisaviaroma.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/156587055.jpg
ACNE Studios 'Benita Clean' Zip Front Sweater Dress,$414,nordstrom.com,http://ak2.polyvoreimg.com/cgi/img-thing/size/l/tid/146537228.jpg
